score_label,,contradiction,contradiction,contradiction,contradiction,contradiction,contradiction,contradiction,entailment,entailment,entailment,entailment,entailment,entailment,entailment,neutral,neutral,neutral,neutral,neutral,neutral,neutral
label,,ground_truth_and_main_passage,ground_truth_and_related_passage,main_passage_and_related_passage,new_fact_and_main_passage,new_fact_and_related_passage,old_fact_and_main_passage,old_fact_and_related_passage,ground_truth_and_main_passage,ground_truth_and_related_passage,main_passage_and_related_passage,new_fact_and_main_passage,new_fact_and_related_passage,old_fact_and_main_passage,old_fact_and_related_passage,ground_truth_and_main_passage,ground_truth_and_related_passage,main_passage_and_related_passage,new_fact_and_main_passage,new_fact_and_related_passage,old_fact_and_main_passage,old_fact_and_related_passage
model,intervention,,,,,,,,,,,,,,,,,,,,,
gptj,gptj_ft_edit,786.2±0.4,795.5±0.3,25763.6±0.3,474.3±0.3,1026.2±0.4,323.4±0.3,762.6±0.4,894.4±0.4,458.4±0.3,1590.1±0.1,15.9±0.0,24.7±0.1,27.6±0.1,38.2±0.1,1762.4±0.5,3099.1±0.4,124127.3±0.3,2952.8±0.3,3302.1±0.4,3092.0±0.3,3552.2±0.4
gptj,gptj_ike_edit,758.3±0.4,642.2±0.3,21638.5±0.3,605.1±0.4,985.3±0.4,414.4±0.3,805.6±0.4,959.9±0.4,560.1±0.3,1205.9±0.1,30.1±0.1,32.9±0.1,51.8±0.1,38.0±0.1,1275.8±0.4,2749.7±0.4,96613.6±0.3,2358.8±0.4,2933.8±0.4,2527.8±0.3,3108.5±0.4
gptj,gptj_no_edit,950.4±0.4,583.0±0.3,21471.6±0.3,665.9±0.4,738.7±0.4,428.7±0.3,565.0±0.3,1051.8±0.4,369.1±0.2,1335.4±0.1,25.7±0.1,30.7±0.1,37.9±0.1,38.5±0.1,1751.8±0.5,3060.0±0.4,122458.9±0.3,3062.4±0.4,3242.7±0.4,3287.4±0.3,3408.5±0.3
gptj,gptj_rome_edit,1133.0±0.4,897.7±0.4,35107.0±0.4,751.8±0.4,975.2±0.4,839.9±0.4,949.0±0.4,828.5±0.4,339.2±0.2,1593.0±0.1,38.9±0.1,33.2±0.1,35.9±0.1,31.9±0.1,1612.5±0.5,2730.1±0.4,119224.0±0.4,2783.4±0.4,2958.7±0.4,2698.3±0.4,2986.0±0.4
llama2,llama2_chat_ft_edit,477.1±0.4,349.3±0.4,2371.4±0.3,85.3±0.2,248.0±0.3,172.0±0.3,307.3±0.4,426.9±0.4,208.1±0.3,352.2±0.1,33.6±0.1,14.0±0.1,26.7±0.1,15.2±0.1,542.0±0.5,1210.6±0.4,23454.4±0.3,1327.1±0.3,1506.0±0.3,1247.3±0.3,1445.5±0.4
llama2,llama2_chat_ike_edit,445.9±0.4,200.1±0.3,2171.2±0.2,207.6±0.3,283.2±0.4,89.6±0.2,155.4±0.3,661.0±0.4,246.4±0.3,498.8±0.1,18.5±0.1,7.0±0.1,37.6±0.1,29.4±0.1,783.1±0.5,1199.5±0.4,28974.0±0.3,1663.8±0.3,1355.9±0.4,1762.8±0.2,1461.2±0.3
llama2,llama2_chat_no_edit,411.4±0.4,178.7±0.3,2199.8±0.2,249.4±0.3,346.1±0.4,44.6±0.1,141.4±0.2,698.8±0.4,249.0±0.3,414.1±0.1,18.3±0.1,7.9±0.1,46.0±0.1,20.9±0.1,799.8±0.5,1406.3±0.4,32919.2±0.2,1642.3±0.3,1480.0±0.4,1819.4±0.2,1671.7±0.3
llama2,llama2_chat_rome_edit,667.5±0.5,337.5±0.4,2909.1±0.3,161.3±0.3,276.4±0.3,252.3±0.3,242.8±0.3,401.7±0.4,203.8±0.3,312.0±0.1,35.2±0.1,11.7±0.1,27.6±0.1,12.3±0.1,585.7±0.5,1136.7±0.4,24925.9±0.3,1458.5±0.3,1389.9±0.4,1375.1±0.4,1423.0±0.3
