score_label,,rouge1,rouge1,rouge1,rouge1,rouge1,rouge1,rouge1,rouge1,rouge2,rouge2,rouge2,rouge2,rouge2,rouge2,rouge2,rouge2,rougeL,rougeL,rougeL,rougeL,rougeL,rougeL,rougeL,rougeL,rougeLsum,rougeLsum,rougeLsum,rougeLsum,rougeLsum,rougeLsum,rougeLsum,rougeLsum
label,,new_fact_and_main_passage,new_fact_and_related_passage,old_fact_and_main_passage,old_fact_and_related_passage,related_entity_and_main_passage,related_entity_and_related_passage,subject_and_main_passage,subject_and_related_passage,new_fact_and_main_passage,new_fact_and_related_passage,old_fact_and_main_passage,old_fact_and_related_passage,related_entity_and_main_passage,related_entity_and_related_passage,subject_and_main_passage,subject_and_related_passage,new_fact_and_main_passage,new_fact_and_related_passage,old_fact_and_main_passage,old_fact_and_related_passage,related_entity_and_main_passage,related_entity_and_related_passage,subject_and_main_passage,subject_and_related_passage,new_fact_and_main_passage,new_fact_and_related_passage,old_fact_and_main_passage,old_fact_and_related_passage,related_entity_and_main_passage,related_entity_and_related_passage,subject_and_main_passage,subject_and_related_passage
model,intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gptj,gptj_ft_edit,1.9±2.5,1.0±1.9,1.9±2.5,1.0±1.9,0.6±1.4,1.2±3.0,1.3±2.3,0.3±0.8,1.0±1.8,0.2±0.4,1.0±1.8,0.2±0.4,0.2±0.7,0.9±2.6,0.8±1.8,0.1±0.4,1.8±2.4,0.9±1.5,1.8±2.4,0.9±1.5,0.6±1.2,1.2±3.0,1.3±2.3,0.3±0.8,1.8±2.4,0.9±1.5,1.8±2.4,0.9±1.5,0.6±1.2,1.2±3.0,1.3±2.3,0.3±0.8
gptj,gptj_ike_edit,2.6±2.9,1.3±1.4,2.6±2.9,1.3±1.4,0.8±1.5,1.3±1.7,1.8±2.2,0.7±1.1,1.2±1.5,0.5±0.8,1.2±1.5,0.5±0.8,0.3±0.9,0.8±1.2,1.1±1.5,0.4±0.6,2.4±2.6,1.2±1.3,2.4±2.6,1.2±1.3,0.8±1.5,1.3±1.7,1.8±2.2,0.7±1.1,2.4±2.6,1.2±1.3,2.4±2.6,1.2±1.3,0.8±1.5,1.3±1.7,1.8±2.2,0.7±1.1
gptj,gptj_no_edit,2.1±2.7,0.9±1.5,2.1±2.7,0.9±1.5,0.7±1.4,0.9±1.0,1.3±1.7,0.3±0.6,1.0±1.4,0.2±0.4,1.0±1.4,0.2±0.4,0.2±0.8,0.6±0.8,0.8±1.1,0.1±0.3,2.0±2.4,0.8±1.3,2.0±2.4,0.8±1.3,0.6±1.3,0.9±1.0,1.3±1.7,0.3±0.6,2.0±2.4,0.8±1.3,2.0±2.4,0.8±1.3,0.6±1.3,0.9±1.0,1.3±1.7,0.3±0.6
gptj,gptj_rome_edit,2.1±3.2,1.0±1.9,2.1±3.2,1.0±1.9,0.7±1.8,1.2±1.8,1.4±2.9,0.5±1.3,0.9±1.9,0.3±1.1,0.9±1.9,0.3±1.1,0.1±0.4,0.8±1.5,0.8±2.1,0.1±0.5,1.9±3.0,1.0±1.9,1.9±3.0,1.0±1.9,0.7±1.8,1.2±1.8,1.4±2.9,0.5±1.2,1.9±3.0,1.0±1.9,1.9±3.0,1.0±1.9,0.7±1.8,1.2±1.8,1.4±2.9,0.5±1.2
llama2,llama2_chat_ft_edit,2.9±4.1,2.3±3.6,2.9±4.1,2.3±3.6,1.3±1.4,1.8±1.9,2.0±5.0,1.1±2.0,1.4±2.7,0.7±1.1,1.4±2.7,0.7±1.1,0.6±1.0,1.2±1.6,1.2±3.4,0.4±0.6,2.8±4.0,2.0±2.7,2.8±4.0,2.0±2.7,1.1±1.1,1.8±1.9,2.0±5.0,1.1±1.5,2.8±4.0,2.0±2.7,2.8±4.0,2.0±2.7,1.1±1.1,1.8±1.9,2.0±5.0,1.1±1.5
llama2,llama2_chat_ike_edit,2.3±1.1,2.4±1.2,2.3±1.1,2.4±1.2,1.4±1.0,1.7±1.1,1.3±0.6,1.4±0.8,1.2±0.9,1.3±1.0,1.2±0.9,1.3±1.0,0.9±1.0,1.1±1.0,0.8±0.6,0.8±0.7,2.3±1.1,2.3±1.1,2.3±1.1,2.3±1.1,1.4±1.0,1.7±1.1,1.3±0.6,1.4±0.8,2.3±1.1,2.3±1.1,2.3±1.1,2.3±1.1,1.4±1.0,1.7±1.1,1.3±0.6,1.4±0.8
llama2,llama2_chat_no_edit,2.2±1.1,2.1±1.2,2.2±1.1,2.1±1.2,1.5±1.3,1.4±0.9,1.3±0.7,1.2±0.6,1.1±0.8,1.0±0.9,1.1±0.8,1.0±0.9,0.9±1.2,0.9±0.9,0.8±0.7,0.6±0.5,2.1±1.0,2.0±1.1,2.1±1.0,2.0±1.1,1.5±1.3,1.4±0.9,1.3±0.7,1.1±0.6,2.1±1.0,2.0±1.1,2.1±1.0,2.0±1.1,1.5±1.3,1.4±0.9,1.3±0.7,1.1±0.6
llama2,llama2_chat_rome_edit,2.6±1.5,2.0±1.2,2.6±1.5,2.0±1.2,1.6±1.5,1.6±1.2,1.6±1.1,1.1±0.8,1.4±1.2,0.9±1.0,1.4±1.2,0.9±1.0,0.9±1.3,1.1±1.2,0.9±1.0,0.5±0.7,2.5±1.5,1.8±1.0,2.5±1.5,1.8±1.0,1.5±1.5,1.6±1.2,1.6±1.1,1.1±0.8,2.5±1.5,1.8±1.0,2.5±1.5,1.8±1.0,1.5±1.5,1.6±1.2,1.6±1.1,1.1±0.8
